,planname,measurename,audit_id,old_value,new_value,created_by,creation_date,details,key1,key38,key10002,key52,key40,key50,key44,filter52,filter54,filter44,key54,prd-item,prd-gbu,cus-region,tim-month,org-organization,dcs-demand_class,cus-customer,tim-year,tabfilter-tim-month,tabfilter-tim-year,tabfilter-cus-customer,rec_creation_date
0,Shared,Adjusted Bookings History,300000002104660,,0.0,Rob,2020-07-31T13:59:00.490+00:00,"{""combination"":[{""levelId"":1,""memberId"":11890},{""levelId"":38,""memberId"":168},{""levelId"":10002,""memberId"":7},{""levelId"":52,""memberId"":2459002},{""levelId"":40,""memberId"":10001},{""levelId"":50,""memberId"":1}],""filters"":[]}",1:11890,38:168,10002:7,52:2459002,40:10001,50:1,,,,,,H965466100,ACCESS,EMEA,2020-06,GLF,,,,,,,2020-12-22 11:49:06.889481
1,Shared,Adjusted Bookings History,300000002104653,,40.0,Rob,2020-07-31T13:54:46.965+00:00,"{""combination"":[{""levelId"":1,""memberId"":11814},{""levelId"":38,""memberId"":168},{""levelId"":10002,""memberId"":7},{""levelId"":52,""memberId"":2459002},{""levelId"":40,""memberId"":10001},{""levelId"":50,""memberId"":1}],""filters"":[]}",1:11814,38:168,10002:7,52:2459002,40:10001,50:1,,,,,,H965458760,ACCESS,EMEA,2020-06,GLF,,,,,,,2020-12-22 11:49:06.889481
2,Shared,Adjusted Bookings History,300000002104654,40.0,,Rob,2020-07-31T13:54:46.965+00:00,"{""combination"":[{""levelId"":1,""memberId"":11814},{""levelId"":38,""memberId"":168},{""levelId"":10002,""memberId"":7},{""levelId"":52,""memberId"":2459002},{""levelId"":40,""memberId"":10001},{""levelId"":50,""memberId"":1}],""filters"":[]}",1:11814,38:168,10002:7,52:2459002,40:10001,50:1,,,,,,H965458760,ACCESS,EMEA,2020-06,GLF,,,,,,,2020-12-22 11:49:06.889481
3,Shared,Adjusted Bookings History,300000002104655,,40.0,Rob,2020-07-31T13:54:46.965+00:00,"{""combination"":[{""levelId"":1,""memberId"":11814},{""levelId"":38,""memberId"":168},{""levelId"":10002,""memberId"":7},{""levelId"":52,""memberId"":2459002},{""levelId"":40,""memberId"":10001},{""levelId"":50,""memberId"":1}],""filters"":[]}",1:11814,38:168,10002:7,52:2459002,40:10001,50:1,,,,,,H965458760,ACCESS,EMEA,2020-06,GLF,,,,,,,2020-12-22 11:49:06.889481
4,Shared,Adjusted Bookings History,300000002307349,15.0,200.0,aarora,2020-09-29T08:07:13.208+00:00,"{""combination"":[{""levelId"":1,""memberId"":10000},{""levelId"":40,""memberId"":10004},{""levelId"":52,""memberId"":2458971}],""filters"":[]}",1:10000,,,52:2458971,40:10004,,,,,,,10301403,,,2020-05,QBY,,,,,,,2020-12-22 11:49:06.889481
5,Shared,Adjusted Bookings History,300000002307350,15.0,200.0,aarora,2020-09-29T08:07:13.208+00:00,"{""combination"":[{""levelId"":1,""memberId"":10000},{""levelId"":40,""memberId"":10004},{""levelId"":52,""memberId"":2459002}],""filters"":[]}",1:10000,,,52:2459002,40:10004,,,,,,,10301403,,,2020-06,QBY,,,,,,,2020-12-22 11:49:06.889481
6,Shared,Adjusted Bookings History,300000002307351,14.999999999849999,200.0,aarora,2020-09-29T08:07:13.208+00:00,"{""combination"":[{""levelId"":1,""memberId"":10000},{""levelId"":40,""memberId"":10004},{""levelId"":52,""memberId"":2459032}],""filters"":[]}",1:10000,,,52:2459032,40:10004,,,,,,,10301403,,,2020-07,QBY,,,,,,,2020-12-22 11:49:06.889481
7,Shared,Adjusted Bookings History,300000002307352,15.0,200.0,aarora,2020-09-29T08:07:13.208+00:00,"{""combination"":[{""levelId"":1,""memberId"":10000},{""levelId"":40,""memberId"":10004},{""levelId"":52,""memberId"":2459063}],""filters"":[]}",1:10000,,,52:2459063,40:10004,,,,,,,10301403,,,2020-08,QBY,,,,,,,2020-12-22 11:49:06.889481
8,Shared,Adjusted Bookings History,300000002305053,,1000.0,goutham,2020-09-22T07:24:35.122+00:00,"{""combination"":[{""levelId"":1,""memberId"":12167},{""levelId"":52,""memberId"":2459032},{""levelId"":40,""memberId"":10002}],""filters"":[]}",1:12167,,,52:2459032,40:10002,,,,,,,H965970002021,,,2020-07,HLK,,,,,,,2020-12-22 11:49:06.889481
9,Shared,Adjusted Bookings History,300000002307340,1000.0,,goutham,2020-09-24T15:13:58.271+00:00,"{""combination"":[{""levelId"":1,""memberId"":12167},{""levelId"":52,""memberId"":2458819},{""levelId"":40,""memberId"":10002}],""filters"":[]}",1:12167,,,52:2458819,40:10002,,,,,,,H965970002021,,,2019-12,HLK,,,,,,,2020-12-22 11:49:06.889481
